Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
19,F,11,19,d1,DD,s,0.1375,5
20,F,3,20,d1,DD,h,0.335,5
20,F,7,20,d1,DD,n,0.301,5
20,F,11,20,d1,DD,s,0.312,5
21,F,3,20,d1,DD,h,0.027,5
21,F,7,20,d1,DD,n,0.0255,5
21,F,11,20,d1,DD,s,0.0685,5
22,M,3,22,d1,DD,h,0.3195,5
22,M,7,22,d1,DD,n,0.2215,5
22,M,11,22,d1,DD,s,0.1645,5
23,F,3,21,d1,DD,h,0.077,5
23,F,7,21,d1,DD,n,0.0885,5
23,F,11,21,d1,DD,s,0.043,5
24,M,3,21,d1,DD,h,0.06,5
24,M,7,21,d1,DD,n,0.0215,5
24,M,11,21,d1,DD,s,0.1335,5
25,F,3,19,d1,DD,h,0.039,5
25,F,7,19,d1,DD,n,0.0765,5
25,F,11,19,d1,DD,s,0.014,5
26,F,3,20,d1,DD,h,0.064,5
26,F,7,20,d1,DD,n,0.1,5
26,F,11,20,d1,DD,s,0.08,5
27,F,3,21,d1,DD,h,0.165,5
27,F,7,21,d1,DD,n,0.128,5
27,F,11,21,d1,DD,s,0.281,5
28,F,3,20,d1,DD,h,0.2195,5
28,F,7,20,d1,DD,n,0.1295,5
28,F,11,20,d1,DD,s,0.233,5
29,M,3,21,d1,DD,h,0.0475,5
29,M,7,21,d1,DD,n,0.13,5
29,M,11,21,d1,DD,s,0.105,5
30,M,3,23,d1,DD,h,0.1025,5
30,M,7,23,d1,DD,n,0.124,5
30,M,11,23,d1,DD,s,0.2995,5
31,F,3,21,d1,DD,h,0.1105,5
31,F,7,21,d1,DD,n,0.065,5
31,F,11,21,d1,DD,s,0.0975,5
32,F,3,20,d1,DD,h,0.194,5
32,F,7,20,d1,DD,n,0.1335,5
32,F,11,20,d1,DD,s,0.2085,5
33,M,3,19,d1,DD,h,0.0245,5
33,M,7,19,d1,DD,n,0.177,5
33,M,11,19,d1,DD,s,0.154,5
1,F,4,23,d2,DD,h,0.0605,5
1,F,8,23,d2,DD,n,0.016,5
1,F,12,23,d2,DD,s,0.1965,5
2,M,4,19,d2,DD,h,0.0535,5
2,M,8,19,d2,DD,n,0.076,5
2,M,12,19,d2,DD,s,0.2115,5
3,F,4,21,d2,DD,h,0.031,5
3,F,8,21,d2,DD,n,0.0715,5
3,F,12,21,d2,DD,s,0.039,5
4,F,4,24,d2,DD,h,0,5
4,F,8,24,d2,DD,n,0.043,5
4,F,12,24,d2,DD,s,0.1685,5
5,F,4,19,d2,DD,h,0.0595,5
5,F,8,19,d2,DD,n,0.064,5
5,F,12,19,d2,DD,s,0.104,5
