Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
14,M,5,21,t,t,n,0.096,4
15,F,6,18,c,c,n,0.2025,4
15,F,7,18,d1,DD,n,0.1045,4
15,F,8,18,d2,DD,n,0.088,4
15,F,5,18,t,t,n,0.134,4
16,F,6,23,c,c,n,0.161,4
16,F,7,23,d1,DD,n,0.007,4
16,F,8,23,d2,DD,n,0.0565,4
16,F,5,23,t,t,n,0.1355,4
17,F,6,18,c,c,n,0.1775,4
17,F,7,18,d1,DD,n,0.0485,4
17,F,8,18,d2,DD,n,0.013,4
17,F,5,18,t,t,n,0.114,4
18,F,6,20,c,c,n,0.268,4
18,F,7,20,d1,DD,n,0.0585,4
18,F,8,20,d2,DD,n,0.01,4
18,F,5,20,t,t,n,0.146,4
19,F,6,19,c,c,n,0.1325,4
19,F,7,19,d1,DD,n,0.01,4
19,F,8,19,d2,DD,n,0.0335,4
19,F,5,19,t,t,n,0.046,4
2,M,6,19,c,c,n,0.078,4
2,M,7,19,d1,DD,n,0.069,4
2,M,8,19,d2,DD,n,0.0275,4
2,M,5,19,t,t,n,0.0985,4
20,F,6,20,c,c,n,0.1825,4
20,F,7,20,d1,DD,n,0.1595,4
20,F,8,20,d2,DD,n,0.044,4
20,F,5,20,t,t,n,0.0735,4
21,F,6,20,c,c,n,0.104,4
21,F,7,20,d1,DD,n,0.0495,4
21,F,8,20,d2,DD,n,0.031,4
21,F,5,20,t,t,n,0.11,4
22,M,6,22,c,c,n,0.1985,4
22,M,7,22,d1,DD,n,0.116,4
22,M,8,22,d2,DD,n,0.0045,4
22,M,5,22,t,t,n,0.1925,4
23,F,6,21,c,c,n,0.2225,4
23,F,7,21,d1,DD,n,0.0185,4
23,F,8,21,d2,DD,n,0.013,4
23,F,5,21,t,t,n,0.184,4
24,M,6,21,c,c,n,0.2095,4
24,M,7,21,d1,DD,n,0.064,4
24,M,8,21,d2,DD,n,0.0275,4
24,M,5,21,t,t,n,0.145,4
