Participante,Sexo,Item,Edad,Imagen,Juntas,TCDD,MD,Tiempo,Ventana
12,F,3,18,c,TC,c,s,0.886,2
12,F,4,18,d1,DD,DD,h,0.5075,2
12,F,5,18,d1,DD,DD,n,0.6515,2
12,F,6,18,d1,DD,DD,s,0.6165,2
12,F,7,18,d2,DD,DD,h,0.644,2
12,F,8,18,d2,DD,DD,n,0.277,2
12,F,9,18,d2,DD,DD,s,0.398,2
12,F,10,18,t,TC,T,h,0.6935,2
12,F,11,18,t,TC,T,n,0.7695,2
12,F,12,18,t,TC,T,s,0.7825,2
13,F,1,24,c,TC,c,h,0.6525,2
13,F,2,24,c,TC,c,n,1.0475,2
13,F,3,24,c,TC,c,s,0.546,2
13,F,4,24,d1,DD,DD,h,0.452,2
13,F,5,24,d1,DD,DD,n,0.45,2
13,F,6,24,d1,DD,DD,s,0.3925,2
13,F,7,24,d2,DD,DD,h,0.3185,2
13,F,8,24,d2,DD,DD,n,0.1755,2
13,F,9,24,d2,DD,DD,s,0.3855,2
13,F,10,24,t,TC,T,h,0.6225,2
13,F,11,24,t,TC,T,n,0.7305,2
13,F,12,24,t,TC,T,s,0.811,2
14,M,1,21,c,TC,c,h,0.8135,2
14,M,2,21,c,TC,c,h,0.7365,2
14,M,3,21,c,TC,c,n,0.9345,2
14,M,4,21,c,TC,c,s,0.749,2
14,M,5,21,d1,DD,DD,h,0.3105,2
14,M,6,21,d1,DD,DD,n,0.355,2
14,M,7,21,d1,DD,DD,s,0.235,2
14,M,8,21,d2,DD,DD,h,0.3995,2
14,M,9,21,d2,DD,DD,n,0.238,2
14,M,10,21,d2,DD,DD,s,0.4185,2
14,M,11,21,t,TC,T,n,0.625,2
14,M,12,21,t,TC,T,s,0.6835,2
15,F,1,18,c,TC,c,h,0.773,2
15,F,2,18,c,TC,c,n,0.8265,2
15,F,3,18,c,TC,c,s,0.9245,2
15,F,4,18,d1,DD,DD,h,0.482,2
15,F,5,18,d1,DD,DD,n,0.5645,2
15,F,6,18,d1,DD,DD,s,0.558,2
15,F,7,18,d2,DD,DD,h,0.3175,2
15,F,8,18,d2,DD,DD,n,0.2785,2
15,F,9,18,d2,DD,DD,s,0.241,2
15,F,10,18,t,TC,T,h,0.878,2
15,F,11,18,t,TC,T,n,0.686,2
15,F,12,18,t,TC,T,s,0.7905,2
16,F,1,23,c,TC,c,h,0.712,2
16,F,2,23,c,TC,c,n,0.967,2
16,F,3,23,c,TC,c,s,0.693,2
16,F,4,23,d1,DD,DD,h,0.232,2
16,F,5,23,d1,DD,DD,n,0.342,2
16,F,6,23,d1,DD,DD,s,0.2845,2
16,F,7,23,d2,DD,DD,h,0.0935,2
16,F,8,23,d2,DD,DD,n,0.1,2
16,F,9,23,d2,DD,DD,s,0.178,2
16,F,10,23,t,TC,T,h,0.5975,2
16,F,11,23,t,TC,T,n,0.6445,2
16,F,12,23,t,TC,T,s,0.3585,2
17,F,1,18,c,TC,c,h,0.352,2
17,F,2,18,c,TC,c,n,0.799,2
17,F,3,18,c,TC,c,s,0.6065,2
17,F,4,18,d1,DD,DD,h,0.355,2
17,F,5,18,d1,DD,DD,n,0.5965,2
17,F,6,18,d1,DD,DD,s,0.357,2
17,F,7,18,d2,DD,DD,h,0.205,2
17,F,8,18,d2,DD,DD,n,0.0825,2
17,F,9,18,d2,DD,DD,s,0.293,2
17,F,10,18,t,TC,T,h,0.79,2
17,F,11,18,t,TC,T,n,0.5085,2
17,F,12,18,t,TC,T,s,0.6085,2
18,F,1,20,c,TC,c,h,0.689,2
18,F,2,20,c,TC,c,n,0.9515,2
18,F,3,20,c,TC,c,s,0.976,2
18,F,4,20,d1,DD,DD,h,0.356,2
18,F,5,20,d1,DD,DD,n,0.5705,2
18,F,6,20,d1,DD,DD,s,0.3165,2
18,F,7,20,d2,DD,DD,h,0.4905,2
18,F,8,20,d2,DD,DD,n,0.4305,2
18,F,9,20,d2,DD,DD,s,0.47,2
18,F,10,20,t,TC,T,h,0.9885,2
18,F,11,20,t,TC,T,n,0.6485,2
18,F,12,20,t,TC,T,s,0.903,2
19,F,1,19,c,TC,c,h,0.775,2
19,F,2,19,c,TC,c,n,1.0905,2
19,F,3,19,c,TC,c,s,0.503,2
19,F,4,19,d1,DD,DD,h,0.376,2
19,F,5,19,d1,DD,DD,n,0.477,2
19,F,6,19,d1,DD,DD,s,0.5545,2
19,F,7,19,d2,DD,DD,h,0.217,2
19,F,8,19,d2,DD,DD,n,0.09,2
19,F,9,19,d2,DD,DD,s,0.227,2
19,F,10,19,t,TC,T,h,0.841,2
19,F,11,19,t,TC,T,n,0.7605,2
19,F,12,19,t,TC,T,s,0.696,2
20,F,1,20,c,TC,c,h,0.6655,2
20,F,2,20,c,TC,c,n,0.891,2
20,F,3,20,c,TC,c,s,0.7235,2
20,F,4,20,d1,DD,DD,h,0.7455,2
20,F,5,20,d1,DD,DD,n,0.671,2
20,F,6,20,d1,DD,DD,s,0.663,2
20,F,7,20,d2,DD,DD,h,0.165,2
20,F,8,20,d2,DD,DD,n,0.207,2
20,F,9,20,d2,DD,DD,s,0.2255,2
20,F,10,20,t,TC,T,h,0.799,2
20,F,11,20,t,TC,T,n,0.67,2
20,F,12,20,t,TC,T,s,0.6505,2
21,F,1,20,c,TC,c,h,0.781,2
21,F,2,20,c,TC,c,n,0.936,2
21,F,3,20,c,TC,c,s,0.7715,2
21,F,4,20,d1,DD,DD,h,0.387,2
21,F,5,20,d1,DD,DD,n,0.441,2
21,F,6,20,d1,DD,DD,s,0.5005,2
21,F,7,20,d2,DD,DD,h,0.3495,2
21,F,8,20,d2,DD,DD,n,0.225,2
21,F,9,20,d2,DD,DD,s,0.4045,2
21,F,10,20,t,TC,T,h,0.6715,2
21,F,11,20,t,TC,T,n,0.6805,2
21,F,12,20,t,TC,T,s,0.737,2
22,M,1,22,c,TC,c,h,0.9385,2
22,M,2,22,c,TC,c,n,0.8115,2
22,M,3,22,c,TC,c,s,0.835,2
22,M,4,22,d1,DD,DD,h,0.679,2
22,M,5,22,d1,DD,DD,n,0.8,2
22,M,6,22,d1,DD,DD,s,0.4715,2
22,M,7,22,d2,DD,DD,h,0.4245,2
22,M,8,22,d2,DD,DD,n,0.2855,2
22,M,9,22,d2,DD,DD,s,0.161,2
22,M,10,22,t,TC,T,h,0.618,2
22,M,11,22,t,TC,T,n,0.4695,2
22,M,12,22,t,TC,T,s,0.915,2
23,F,1,21,c,TC,c,h,0.5755,2
23,F,2,21,c,TC,c,n,1.124,2
23,F,3,21,c,TC,c,s,0.7705,2
23,F,4,21,d1,DD,DD,h,0.2975,2
23,F,5,21,d1,DD,DD,n,0.2795,2
23,F,6,21,d1,DD,DD,s,0.412,2
23,F,7,21,d2,DD,DD,h,0.3015,2
23,F,8,21,d2,DD,DD,n,0.176,2
23,F,9,21,d2,DD,DD,s,0.307,2
23,F,10,21,t,TC,T,h,0.981,2
23,F,11,21,t,TC,T,n,0.8305,2
23,F,12,21,t,TC,T,s,0.748,2
24,M,1,21,c,TC,c,h,0.69,2
24,M,2,21,c,TC,c,n,0.791,2
24,M,3,21,c,TC,c,s,0.6725,2
24,M,4,21,d1,DD,DD,h,0.421,2
24,M,5,21,d1,DD,DD,n,0.3955,2
24,M,6,21,d1,DD,DD,s,0.4785,2
24,M,7,21,d2,DD,DD,h,0.424,2
24,M,8,21,d2,DD,DD,n,0.392,2
24,M,9,21,d2,DD,DD,s,0.3775,2
24,M,10,21,t,TC,T,h,0.657,2
24,M,11,21,t,TC,T,n,0.8605,2
24,M,12,21,t,TC,T,s,0.9075,2
25,F,1,19,c,TC,c,h,1.0685,2
25,F,2,19,c,TC,c,n,1.1555,2
25,F,3,19,c,TC,c,s,1.0045,2
25,F,4,19,d1,DD,DD,h,0.335,2
25,F,5,19,d1,DD,DD,n,0.401,2
25,F,6,19,d1,DD,DD,s,0.2745,2
25,F,7,19,d2,DD,DD,h,0.2475,2
25,F,8,19,d2,DD,DD,n,0.2765,2
25,F,9,19,d2,DD,DD,s,0.2905,2
25,F,10,19,t,TC,T,h,0.7675,2
25,F,11,19,t,TC,T,n,0.839,2
25,F,12,19,t,TC,T,s,0.941,2
26,F,1,20,c,TC,c,h,0.3525,2
26,F,2,20,c,TC,c,n,0.674,2
26,F,3,20,c,TC,c,s,0.6085,2
26,F,4,20,d1,DD,DD,h,0.446,2
26,F,5,20,d1,DD,DD,n,0.4245,2
26,F,6,20,d1,DD,DD,s,0.5405,2
26,F,7,20,d2,DD,DD,h,0.4285,2
26,F,8,20,d2,DD,DD,n,0.229,2
26,F,9,20,d2,DD,DD,s,0.286,2
26,F,10,20,t,TC,T,h,0.471,2
26,F,11,20,t,TC,T,n,0.8095,2
26,F,12,20,t,TC,T,s,0.5615,2
27,F,1,21,c,TC,c,h,0.7875,2
27,F,2,21,c,TC,c,n,1.1175,2
27,F,3,21,c,TC,c,s,0.495,2
27,F,4,21,d1,DD,DD,h,0.4795,2
27,F,5,21,d1,DD,DD,n,0.624,2
27,F,6,21,d1,DD,DD,s,0.8495,2
27,F,7,21,d2,DD,DD,h,0.453,2
27,F,8,21,d2,DD,DD,n,0.345,2
27,F,9,21,d2,DD,DD,s,0.5345,2
27,F,10,21,t,TC,T,h,0.853,2
